Province,District,Gender,Age,Disability,Orphan,Poverty Level,School Level,School Type,Enrolled,Grade,Grade Repetition,Transition Status,Dropout Status,Out of School,Distance to School (km),Midday Meal,Internet Access,Hostel Facility
Province 1,Bhojpur,Female,11,No,No,Medium,Lower Secondary,Public,Yes,7,No,Yes,No,No,2.6,Yes,Yes,No
Province 1,Dhankuta,Female,7,No,No,Very High,Primary,Public,Yes,5,No,N/A,No,No,0.5,Yes,No,No
Province 1,Ilam,Male,17,No,No,Low,Upper Secondary,Public,Yes,9,No,Yes,No,No,0.2,Yes,No,No
Province 1,Jhapa,Female,7,No,No,High,Primary,Public,Yes,4,No,N/A,No,No,3.7,Yes,No,No
Province 1,Khotang,Female,14,No,No,Medium,Lower Secondary,Public,Yes,6,No,Yes,No,No,0.9,No,No,No
Province 1,Morang,Male,8,No,No,High,Primary,Public,No,5,-,N/A,Yes,No,4.9,Yes,Yes,No
Province 1,Okhaldhunga,Male,9,No,No,Low,Primary,Public,Yes,5,No,N/A,No,No,2.3,Yes,No,No
Province 1,Panchthar,Female,16,No,No,Very High,Upper Secondary,Public,Yes,11,No,Yes,No,No,1.0,Yes,Yes,No
Province 1,Sankhuwasabha,Female,13,No,No,Low,Lower Secondary,Public,Yes,8,No,Yes,No,No,0.4,Yes,No,Yes
Province 1,Solukhumbu,Male,7,No,No,High,Primary,Public,Yes,5,No,N/A,No,No,2.5,No,Yes,No
Province 1,Sunsari,Female,13,No,No,High,Lower Secondary,Public,Yes,8,No,Yes,No,No,0.5,Yes,No,No
Province 1,Taplejung,Female,16,No,No,Low,Upper Secondary,Public,Yes,9,No,Yes,No,No,4.8,Yes,No,No
Province 1,Terhathum,Female,10,No,No,High,Primary,Private,Yes,1,No,N/A,No,No,1.6,No,Yes,No
Province 1,Udayapur,Female,12,No,No,Very High,Lower Secondary,Public,Yes,8,No,Yes,No,No,3.1,Yes,No,No
Madhesh,Bara,Female,18,No,No,Very High,Upper Secondary,Public,Yes,12,No,Yes,No,No,4.2,No,No,No
Madhesh,Dhanusha,Female,10,No,No,Very High,Primary,Private,Yes,2,No,N/A,No,No,1.9,No,Yes,No
Madhesh,Mahottari,Female,16,No,No,Very High,Upper Secondary,Private,Yes,12,No,Yes,No,No,0.4,No,Yes,No
Madhesh,Parsa,Female,17,Yes,No,Medium,Upper Secondary,Public,Yes,11,No,No,No,No,2.4,Yes,No,Yes
Madhesh,Rautahat,Male,8,No,No,Very High,Primary,Private,Yes,2,Yes,N/A,No,No,0.7,No,Yes,No
Madhesh,Saptari,Male,6,No,No,Low,Primary,Public,Yes,1,No,N/A,No,No,1.2,Yes,No,No
Madhesh,Sarlahi,Male,16,No,No,High,Upper Secondary,Public,No,10,-,N/A,Yes,Yes,1.3,No,Yes,No
Madhesh,Siraha,Female,14,No,No,Very High,Lower Secondary,Public,Yes,7,No,Yes,No,No,4.2,Yes,No,Yes
